batch_id,date,shift,machine,units_produced,defective_units
B0001,2026-01-01,Morning,M1,437,
B0002,2026-01-01,Evening,M2,454,
B0003,2026-01-01,Night,M3,471,33
B0004,2026-01-01,Morning,M4,488,5
B0005,2026-01-01,Evening,M5,505,12
B0006,2026-01-01,Night,M1,522,22
B0007,2026-01-01,Morning,M2,539,26
B0008,2026-01-01,Evening,M3,556,9
B0009,2026-01-01,Night,M4,573,15
B0010,2026-01-01,Morning,M5,590,19
B0011,2026-01-01,Evening,M1,427,26
B0012,2026-01-01,Night,M2,444,8
B0013,2026-01-01,Morning,M3,461,16
B0014,2026-01-01,Evening,M4,478,19
B0015,2026-01-01,Night,M5,495,29
B0016,2026-01-02,Morning,M1,512,5
B0017,2026-01-02,Evening,M2,529,12
B0018,2026-01-02,Night,M3,546,26
B0019,2026-01-02,Morning,M4,563,26
B0020,2026-01-02,Evening,M5,580,5
B0021,2026-01-02,Night,M1,597,15
B0022,2026-01-02,Morning,M2,434,19
B0023,2026-01-02,Evening,M3,451,30
B0024,2026-01-02,Night,M4,468,8
B0025,2026-01-02,Morning,M5,485,12
B0026,2026-01-02,Evening,M1,502,19
B0027,2026-01-02,Night,M2,519,29
B0028,2026-01-02,Morning,M3,536,9
B0029,2026-01-02,Evening,M4,553,12
B0030,2026-01-02,Night,M5,570,22
B0031,2026-01-03,Morning,M1,587,26
B0032,2026-01-03,Evening,M2,424,5
B0033,2026-01-03,Night,M3,441,19
B0034,2026-01-03,Morning,M4,458,19
B0035,2026-01-03,Evening,M5,475,26
B0036,2026-01-03,Night,M1,492,8
B0037,2026-01-03,Morning,M2,509,12
B0038,2026-01-03,Evening,M3,526,23
B0039,2026-01-03,Night,M4,543,29
B0040,2026-01-03,Morning,M5,560,5
B0041,2026-01-03,Evening,M1,577,12
B0042,2026-01-03,Night,M2,594,22
B0043,2026-01-03,Morning,M3,431,30
B0044,2026-01-03,Evening,M4,448,5
B0045,2026-01-03,Night,M5,465,15
B0046,2026-01-04,Morning,M1,482,19
B0047,2026-01-04,Evening,M2,499,26
B0048,2026-01-04,Night,M3,516,12
B0049,2026-01-04,Morning,M4,533,12
B0050,2026-01-04,Evening,M5,550,19
B0051,2026-01-04,Night,M1,567,29
B0052,2026-01-04,Morning,M2,584,5
B0053,2026-01-04,Evening,M3,421,16
B0054,2026-01-04,Night,M4,438,22
B0055,2026-01-04,Morning,M5,455,26
B0056,2026-01-04,Evening,M1,472,5
B0057,2026-01-04,Night,M2,489,15
B0058,2026-01-04,Morning,M3,506,23
B0059,2026-01-04,Evening,M4,523,26
B0060,2026-01-04,Night,M5,540,8
B0061,2026-01-05,Morning,M1,557,12
B0062,2026-01-05,Evening,M2,574,19
B0063,2026-01-05,Night,M3,591,33
B0064,2026-01-05,Morning,M4,428,5
B0065,2026-01-05,Evening,M5,445,12
B0066,2026-01-05,Night,M1,462,22
B0067,2026-01-05,Morning,M2,479,26
B0068,2026-01-05,Evening,M3,496,9
B0069,2026-01-05,Night,M4,513,15
B0070,2026-01-05,Morning,M5,530,19
B0071,2026-01-05,Evening,M1,547,26
B0072,2026-01-05,Night,M2,564,8
B0073,2026-01-05,Morning,M3,581,16
B0074,2026-01-05,Evening,M4,598,19
B0075,2026-01-05,Night,M5,435,29
B0076,2026-01-06,Morning,M1,452,5
B0077,2026-01-06,Evening,M2,469,12
B0078,2026-01-06,Night,M3,486,26
B0079,2026-01-06,Morning,M4,503,26
B0080,2026-01-06,Evening,M5,520,5
B0081,2026-01-06,Night,M1,537,15
B0082,2026-01-06,Morning,M2,554,19
B0083,2026-01-06,Evening,M3,571,30
B0084,2026-01-06,Night,M4,588,8
B0085,2026-01-06,Morning,M5,425,12
B0086,2026-01-06,Evening,M1,442,19
B0087,2026-01-06,Night,M2,459,29
B0088,2026-01-06,Morning,M3,476,9
B0089,2026-01-06,Evening,M4,493,12
B0090,2026-01-06,Night,M5,510,22
B0091,2026-01-07,Morning,M1,527,26
B0092,2026-01-07,Evening,M2,544,5
B0093,2026-01-07,Night,M3,561,19
B0094,2026-01-07,Morning,M4,578,19
B0095,2026-01-07,Evening,M5,595,26
B0096,2026-01-07,Night,M1,432,8
B0097,2026-01-07,Morning,M2,449,12
B0098,2026-01-07,Evening,M3,466,23
B0099,2026-01-07,Night,M4,483,29
B0100,2026-01-07,Morning,M5,500,5
B0101,2026-01-07,Evening,M1,517,12
B0102,2026-01-07,Night,M2,534,22
